amostra_id;classe_id;sinal;sinalizador_id;repeticao;arquivo_relativo;resolucao_w;resolucao_h;fps;duracao_seg;hash_md5;iluminacao;ambiente;device_model;municipio;faixa_etaria;genero_opcional;observacoes
01-oi-sinalizador-01-1;01;oi;01;1;Sinalizador01/01-oi-sinalizador-01-1.mp4;464;832;30,15;3,76;b711e9a6e395a5df1fdf2a716d4212f7;boa;interna;;São Paulo;25-34;;
01-oi-sinalizador-01-2;01;oi;01;2;Sinalizador01/01-oi-sinalizador-01-2.mp4;848;480;30;4,06;0a9f766f5a20d6b329c2b978d103e989;boa;interna;;São Paulo;25-34;;
01-oi-sinalizador-01-3;01;oi;01;3;Sinalizador01/01-oi-sinalizador-01-3.mp4;464;832;30;3,53;6f39762d343dfc8529e05327cf5da31f;boa;interna;;São Paulo;25-34;;
01-oi-sinalizador-01-4;01;oi;01;4;Sinalizador01/01-oi-sinalizador-01-4.mp4;464;832;30,11;3,97;af435b18a3392f1dbd5995ef8d56e160;boa;interna;;São Paulo;25-34;;
01-oi-sinalizador-01-5;01;oi;01;5;Sinalizador01/01-oi-sinalizador-01-5.mp4;464;832;30,19;3,41;23f5ea7eeb4e8a5045ce81573b37db51;boa;interna;;São Paulo;25-34;;
02-tchau-sinalizador-01-1;02;tchau;01;1;Sinalizador01/02-tchau-sinalizador-01-1.mp4;464;832;30;4,13;0a20296ff3e8b097e8df4758fb378850;boa;interna;;São Paulo;25-34;;
02-tchau-sinalizador-01-2;02;tchau;01;2;Sinalizador01/02-tchau-sinalizador-01-2.mp4;848;480;30;4,16;5ece008aac893f4bb6180d86a83bec80;boa;interna;;São Paulo;25-34;;
02-tchau-sinalizador-01-3;02;tchau;01;3;Sinalizador01/02-tchau-sinalizador-01-3.mp4;464;832;30;4,46;f78768a8dee7ea6b9a895b01b83c8cc6;boa;interna;;São Paulo;25-34;;
02-tchau-sinalizador-01-4;02;tchau;01;4;Sinalizador01/02-tchau-sinalizador-01-4.mp4;848;480;30;3,72;9bb60e4fc58f00d58dc06f881c8d0286;boa;interna;;São Paulo;25-34;;
02-tchau-sinalizador-01-5;02;tchau;01;5;Sinalizador01/02-tchau-sinalizador-01-5.mp4;848;480;30;4,13;a773f2b30634b084373cb03b121a8a74;boa;interna;;São Paulo;25-34;;
03-obrigado-sinalizador-01-1;03;obrigado;01;1;Sinalizador01/03-obrigado-sinalizador-01-1.mp4;848;480;30;4,76;f5ae09d97b00f85e2b8dc21e734aaf52;boa;interna;;São Paulo;25-34;;
03-obrigado-sinalizador-01-2;03;obrigado;01;2;Sinalizador01/03-obrigado-sinalizador-01-2.mp4;848;480;30;5,06;54844edaee87632ac9016f91b12be54f;boa;interna;;São Paulo;25-34;;
03-obrigado-sinalizador-01-3;03;obrigado;01;3;Sinalizador01/03-obrigado-sinalizador-01-3.mp4;848;480;30;4,97;065cad75308f290ee0d5dde0d2a06bd9;boa;interna;;São Paulo;25-34;;
03-obrigado-sinalizador-01-4;03;obrigado;01;4;Sinalizador01/03-obrigado-sinalizador-01-4.mp4;848;480;30;4,23;1b141957c0e4d96e8a7be429c170bf28;boa;interna;;São Paulo;25-34;;
03-obrigado-sinalizador-01-5;03;obrigado;01;5;Sinalizador01/03-obrigado-sinalizador-01-5.mp4;848;480;30;4,3;6545ba5c7f1e19831d2e401b44a48103;boa;interna;;São Paulo;25-34;;
04-desculpa-sinalizador-01-1;04;desculpa;01;1;Sinalizador01/04-desculpa-sinalizador-01-1.mp4;848;480;30;4,32;9b5d08b1f7ce67f6131bdefb21a14086;boa;interna;;São Paulo;25-34;;
